table_field1,table_field2,table_field3,div_content
关于八达岭长城设置无障碍升降机方案的批复,文物保函[2008]339号,世界遗产,文物保函〔2008〕339号 北京市文物局： 你局《关于八达岭长城设置无障碍升降机的请示》（京文物〔2008〕393号）收悉。经研究，我局原则同意所报方案，并提出以下意见： 一、应补充升降机与长城本体交接处的设计和图纸说明，以及升降机的图纸资料。 二、升降机的设计应与长城文物本体及其环境相协调。 三、无障碍升降机为临时性设施，残奥会结束后应予以拆除。 请你局根据上述意见指导有关单位对方案进行修改完善，经你局核准后实施。工程实施及升降设施使用过程中应加强监督和管理，确保文物安全。 此复。 国家文物局 二○○八年四月二十二日
关于2011年长城保护工作的通知,文物保函[2011]1042号,世界遗产,"文物保函〔2011〕1042号 各有关省、自治区、直辖市文物局（文化厅）： 2011年4月27日，我局在北京召开了2011年长城保护工作会议。童明康副局长出席会议并作重要讲话，全面部署了2011年长城保护的各项重点工作任务。为落实会议和讲话精神，切实做好2011年长城保护工作，现就有关事项通知如下： 一、提高长城保护意识。2011年是长城保护工程承前启后、深入推进的关键一年，其工作成效将对“十二五”期间长城保护工作全局产生重要影响。各地要充分认识长城保护工作的重要性和紧迫性，进一步明确长城保护管理职责，落实人员和经费保障，加大监督、巡查力度。积极宣传长城保护的理念、知识和成功经验，在地方政府、相关部门和社会公众中扩大影响，造成声势，推动形成全社会共同关注和支持长城保护的良好氛围。 二、整合资源调查成果。各地要做好长城资源调查资料的整理、汇总工作，积极配合长城资源调查工作项目组及有关单位完成各时代长城资源田野调查成果的检查验收工作，在2011年内完成长城资源调查数据整合入库、秦汉及其它时代长城专题数据生产和长度量测工作。加快省级长城资源调查报告编写工作，在2012年底前完成明长城资源调查报告的出版工作。 三、推进“四有”基础工作。各省级文物行政部门应当按照《长城保护条例》的规定,将长城资源调查的长城遗产报请我局认定（具体认定办法另行通知）。根据我局认定意见，尽快提请同级人民政府将经认定但尚未公布为全国重点文物保护单位或省级文物保护单位的各类长城遗产，依法公布为省级文物保护单位，并划定保护范围和建设控制地带，设立保护标志，加强保护机构和队伍建设，建立长城档案，在2011年内完成明长城资源调查省级建档工作并报我局备案。 四、编制长城保护规划。我局将组织有关专业机构开展长城保护总体规划编制工作。各省级文物行政部门要积极配合长城保护总体规划编制工作，组织长城资源调查人员、管理人员和规划人员组成编制团队，在2011年6月底之前将省级文物行政部门长城保护总体规划协调联络人及省级长城保护规划编制单位联络人报我局备案。省级长城保护规划原则上应当统筹规划本辖区各时代长城遗产保护管理工作；但长城遗产时代跨度大且分布于不同地域的省（自治区、直辖市）可以根据实际情况，分别编制各时代省级长城保护规划。各省级文物行政部门应在2011年内启动省级长城保护规划编制工作。保护规划要在充分利用长城资源调查成果、准确分析长城保存现状、科学评估遗产价值的基础上，明确长城保护的阶段性任务目标和重点项目，确定长城保护与利用措施，协调好与土地利用、城乡建设以及重大工程建设等相关规划之间的关系，增强规划的前瞻性、针对性和可操作性。 五、开展抢救保护工程。按照“保护为主，抢救第一，合理利用，加强管理”的方针，结合规划编制工作，有计划地对长城资源调查中发现的具有重大险情的长城遗产，特别是临近城乡居民聚居区、位于自然灾害频发区域、重要交通路线、重大工程选址建设区域、保存状况较差的长城遗产，分批开展抢救性保护修缮。抢救性保护工程应以扎实、细致的考古调查和勘察测绘为前提，以不改变文物原状和最小干预为原则，以改善长城本体保护状况和消除重大安全隐患为目标，确保世界遗产长城的突出普遍价值和真实性、完整性，维护长城周边环境风貌。加强工程组织和管理，严格实行工程监理，确保工程实施的效果和工程质量。 六、加强日常监测管理。切实加强长城的日常监测工作，通过对遗产本体、环境、游客、安全等方面的长期持续性监测，全面掌握影响长城遗产价值的各类自然和人为因素及其发展变化，及时发现和处置险情。各省级文物行政部门要依法核定已开放长城段落的旅游容量指标，指导长城保护管理机构通过预约参观、分时段流量控制、设置安全警示标志、安排专人疏导、增设紧急疏散通道和游客保护设施、增加游览路线等方式，切实加强游客管理和疏导。制定详细和切实可行的紧急情况处置预案，加强日常演练和应急物资储备，确保在紧急情况下能够迅速反应，化解险情，保障文物和人民群众的安全。在长城组织开展的公共活动和设置的服务项目，应当符合世界文化遗产保护和公众安全的相关要求，并与长城的历史价值和整体风貌相协调。 特此通知。 附件：国家文物局副局长童明康在2011年长城保护工作会议上的讲话 国家文物局 二〇一一年五月十二日"
关于青海省明长城保护工程立项的批复,文物保函[2009]473号,世界遗产,文物保函〔2009〕473号 青海省文化厅： 你厅《关于青海省2009年度长城保护项目立项的请示》（青文物字〔2009〕07号）收悉。经研究，我局批复如下： 一、原则同意青海省明长城保护工程立项。 二、请你厅组织相关单位，按照《文物保护工程管理办法》、《文物保护工程审批管理暂行规定》等有关规定，编制保护工程方案，由你厅初审后报我局审批。工程应遵循“最少干预”和“不改变文物原状”等原则，保护文物本体及其历史环境的真实性和完整性。 国家文物局 二○○九年四月二十三日
关于开展长城执法专项督察的通知,文物督发[2016]16号,执法督察,"文物督发〔2016〕16号 有关省、自治区、直辖市文物局（文化厅），天津市文化市场执法总队： 为贯彻落实习近平总书记关于加强长城保护的重要指示，贯彻落实《国务院关于进一步加强文物工作的指导意见》和全国文物工作会议精神，国家文物局决定组织开展“长城执法专项督察”。现就有关事项通知如下： 一、工作目标 以《中华人民共和国文物法》、《长城保护条例》等法律法规和《长城执法巡查办法》、《长城保护员管理办法》、《长城“四有”工作指导意见》为依据，全面开展长城执法检查，重点对照《长城保护条例》，督促落实长城保护政府责任，完善长城保护基础工作，建立长城监管与执法常态化机制，严肃查处一批破坏长城本体及历史风貌的违法犯罪案件，切实提升长城保护管理水平。 二、督察范围与督察内容 督察范围：北京市、天津市、河北省、山西省、内蒙古自治区、辽宁省、吉林省、黑龙江省、山东省、河南省、陕西省、甘肃省、青海省、宁夏回族自治区、新疆维吾尔自治区等15个省（自治区、直辖市）辖区内，国家文物局已依法认定的长城段落。 督察内容： （一）长城核定公布为省级以上文物保护单位情况； （二）长城“四有”等基础工作落实情况； （三）长城监管与执法常态化机制建立情况，涉及长城的文物违法犯罪案件查处情况； （四）长城保护政府责任落实情况。 详见附件《长城执法专项督察对照检查表》。 三、督察方式 本次专项督察采用国家文物局督察、省级自查、随机抽查相结合，案件督办、试点示范、社会监督相结合的工作方式。 （一）国家文物局督察。国家文物局组织督察组，对各省级文物行政部门（执法机构）长城保护管理情况进行督察，对涉及长城的重大违法犯罪案件进行督办。督察组按照《长城执法专项督察对照检查表》，听取省级文物行政部门（执法机构）汇报，查验相关文件资料，并在被督察省份随机抽取2个长城分布县（区）进行实地核查，汇总后向省级文物行政部门（执法机构）反馈督察意见。 专项督察期间，国家文物局在北京市平谷区红石门长城组织开展“京津冀长城执法联合巡查试点”，在陕西省府谷县组织开展“明长城卫星遥感与无人机执法监测试点”，请北京市、天津市、河北省和陕西省文物行政部门（执法机构）做好相关配合工作。 专项督察期间，国家文物局“12359”文物违法举报热线设立专人专席，接听、受理群众对长城违法行为的举报，并及时安排查处督办。 （二）省级自查。各省级文物行政部门（执法机构）组织开展全面自查。省级文物行政部门（执法机构）开展自查，应按照《长城执法专项督察对照检查表》，形成自查报告，开展自查自纠；随机抽查3-5个县（区），所查县（区）长城段落实地检查率不应低于10%，并对辖区内涉及长城的典型违法犯罪案件现场督办。鼓励有条件的省（自治区、直辖市）开展辖区内交叉检查，鼓励毗邻省份开展联合巡查。 专项督察期间，市、县两级文物行政部门（执法机构）应按照本通知和《长城执法巡查办法》要求，对辖区内长城及保护管理工作进行全面自查，其中对已认定长城段落的实地检查率不应低于20%。实地检查，应采用随机方式确定长城段落。 四、工作安排 专项督察时间为2016年7月至10月，分四个阶段： （一）安排部署阶段（2016年7月）。各省（自治区、直辖市）文物行政部门、文物执法机构根据专项督察通知要求，部署辖区内专项督察工作，确保保存有长城段落的404个县（区）同部署、全覆盖。 （二）省级自查阶段（2016年9月20日前完成）。各地全面开展自查，自查报告由省级文物行政部门（执法机构）于9月15日前汇总上报国家文物局。自查报告应包括本辖区专项督察组织实施情况，《长城执法专项督察对照检查表》自查自纠情况，发现的突出问题以及整改方案，涉及长城的违法犯罪案件查处情况，长城保护与执法监管难点及建议。自查整改工作应于9月20日前取得实质性成果。 （三）国家文物局督察阶段（2016年9月20日至9月30日）。国家文物局组织督察组，集中对长城分布省份进行实地督察，结合省级自查和县域抽查情况，对各省（自治区、直辖市）长城保护情况核定量化分值，形成督察报告，反馈省级文物行政部门。对于问题突出、分值较低的，向省级人民政府通报。 （四）汇总通报阶段（2016年10月）。实地督察结束后，国家文物局汇总15个省份督察情况，形成专项报告上报国务院，有关内容向全国文物系统和全国文物安全部际联席会议成员单位通报，并适时向社会公布。 五、工作要求 （一）高度重视，落实责任。各级文物行政部门（执法机构）要将“长城执法专项督察”作为重要政治任务抓牢抓实。省级文物行政部门（执法机构）主要负责同志为专项督察第一责任人，专项督察部署与实施情况要向省（自治区、直辖市）分管负责同志专题汇报。实施授权执法、委托执法的地区，应以专项督察为契机，密切文物行政部门与执法机构的业务关系，明确职责分工，进一步凝聚工作合力。 （二）夯实基础，完善机制。各级文物行政部门（执法机构）要对照《长城保护条例》等法律法规，找准短板，查缺补漏，逐项检查“四有”等基础工作落实情况，完善日常监管制度、执法巡查制度、保护员制度，完善文物部门与公安机关的执法联动机制，将长城监管与执法切实纳入工作视野，形成工作常态。 （三）及时报告，认真整改。文物行政部门（执法机构）在专项督察中发现的长城保护与执法领域突出问题、违法犯罪案件，应及时报告属地政府与上级文物行政部门，依法做出处理,杜绝瞒报等现象发生。省级文物行政部门（执法机构）应就突出问题建立台账，逐项督促整改；对于辖区内带有普遍性的问题，应结合本地区实际情况，出台政策措施。 （四）加强宣传，接受监督。各地应以专项督察以契机，切实加强长城保护与普法宣传，主动邀请新闻媒体参与督察、巡查，客观反映工作情况，公开曝光典型案例，主动接受社会监督。鼓励各地创新工作方法，引入志愿服务，扩大社会参与，助力长城保护与执法监管，形成全社会共同保护长城的良好氛围。 特此通知。 ? 附件： 《长城执法专项督察对照检查表》 ? 国家文物局 2016年7月20日"
关于印发《长城执法巡查办法》的通知,文物督发[2016]1号,执法督察,文物督发〔2016〕1号 ? ? 各省、自治区、直辖市文物局（文化厅）、新疆生产建设兵团文物局，天津、上海、重庆文化市场综合执法总队： 现将《长城执法巡查办法》印发给你们，请结合本地实际，认真贯彻落实。执行过程中如发现问题，请及时反馈我局。 特此通知。 ? 国家文物局 2016年1月28日 ? 长城执法巡查办法 ? 第一条? 为促进长城所在地县级以上地方人民政府及其文物主管部门依法履行长城保护职责，规范长城执法巡查工作，根据《中华人民共和国文物保护法》、《长城保护条例》等法律法规，制定本办法。 第二条? 本办法所称长城执法巡查，是指各级文物主管部门，及依法被授权或受委托承担文物行政执法职能的机构（以下简称“执法机构”），对本行政区域内的长城及保护管理工作进行的监督检查活动。 第三条? 各级文物主管部门、执法机构，应当对由国务院文物主管部门认定并公布的长城段落进行执法巡查。长城段落，包括长城的墙体、城堡、关隘、烽火台、敌楼等。 第四条? 长城执法巡查按照整体保护、属地管理的原则，落实执法巡查主体。长城段落为行政区域边界的，由毗邻各方协商进行执法巡查。 第五条? 国务院文物主管部门负责长城执法巡查整体工作，协调、解决长城执法巡查中的重大问题，组织开展长城执法专项督察及交叉执法巡查，监督检查长城所在地各级地方政府及文物主管部门的长城保护工作。 长城所在地省级文物主管部门、执法机构负责本行政区域内的长城执法巡查工作，每年对各地开展的长城执法巡查工作实地检查不少于一次。 长城所在地设区市文物主管部门、执法机构负责本行政区域内长城执法巡查工作，每年对所属区县开展的长城执法巡查工作实地检查不少于两次。 长城所在地县级文物主管部门、执法机构每年应制定本行政区域内的长城执法巡查工作方案并负责实施，每年对全部长城段落至少巡查一次，每月对重点长城段落进行抽查，并经常性检查长城保护机构、保护员工作开展情况。 第六条 ?文物主管部门、执法机构开展长城执法巡查，应当重点检查以下内容： （一）长城段落公布为文物保护单位，划定保护范围和建设控制地带，作出标志说明，建立记录档案，设置专门机构或者指定专人进行巡查、看护等情况； （二）破坏、损毁、拆除、穿越、迁移及擅自修缮、重建长城等情况； （三）在长城的保护范围或者建设控制地带内进行建设工程或者爆破、钻探、挖掘等作业情况； （四）辟为参观游览区的长城段落是否符合开放条件，接待游客是否超过旅游容量指标等情况； （五）是否在长城上从事下列禁止性活动： 取土、取砖（石）或者种植作物； 刻划、涂污； 架设、安装与长城保护无关的设施、设备； 驾驶交通工具，或者利用交通工具等跨越长城； 展示可能损坏长城的器具； 有组织地在未辟为参观游览区的长城段落举行活动； （六）破坏、损毁或擅自迁移、拆除长城保护标志和防护设施等情况； （七）长城安全管理和安全防护措施落实情况； （八）其他涉及长城的违法违规情况。 第七条 ?长城执法巡查采取定期检查、重点抽查、上级督察、交叉巡查、联合巡查等方式进行。 长城执法巡查应积极利用遥感监测、无人机、信息通信等新技术、新手段开展工作。 第八条 ?各级文物主管部门、执法机构开展长城执法巡查，应如实做好长城执法巡查工作记录，发现违法行为及时进行处置。 巡查结束后，文物主管部门、执法机构应当及时将巡查结果书面反馈被检查单位，必要时可反馈地方政府。反馈意见应当明确指出存在的问题，并提出整改要求。 被检查单位对反馈意见应及时落实、限期整改，整改结果应书面报告检查单位。 第九条 ?长城执法巡查中发现的构成行政违法案件的违法行为，所在地文物主管部门、执法机构应当立案查处并按照规定上报；涉嫌犯罪的，应依法及时移交公安、司法机关处理。 第十条 ?文物主管部门、执法机构应及时将长城执法巡查记录、反馈意见、整改结果等文字和影像资料整理归档，建立电子和纸制档案。 第十一条 ?各级文物主管部门、执法机构应建立长城执法巡查信息定期报告制度。长城所在地省级文物主管部门、执法机构应将长城执法巡查情况纳入《文物安全与行政执法工作情况统计表》，按规定上报国务院文物主管部门。 第十二条 ?各级文物主管部门、执法机构要组织开展长城执法巡查人员业务培训，使长城执法人员掌握文物法律法规和规章制度，熟练使用配备的执法巡查设备。 第十三条 ?长城所在地县级以上人民政府应将长城执法巡查经费纳入长城保护经费，保障各级文物主管部门、执法机构开展执法巡查工作所需的交通、通讯、设备、宣传、培训等资金，为执法巡查人员购买必要的人身意外伤害保险。 第十四条 ?各级文物主管部门、执法机构应将长城执法巡查工作纳入文物工作考核内容。 县级以上文物主管部门、执法机构对长城执法巡查工作中成绩突出的单位和个人，应予以表彰和奖励。 第十五条 ?上级文物主管部门、执法机构对下级文物主管部门、执法机构开展长城执法巡查工作不力的，应对予以通报批评。单位、个人在开展长城执法巡查工作中有违纪违法行为的，应追究相应责任。 第十六条 ?国家和省级文物主管部门应为长城执法巡查工作提供数据、技术等支持，通过长城资源信息管理系统实现信息共享。 第十七条 ?鼓励社会监督，畅通监督渠道，“12359”文物违法举报平台设立长城保护专线。 第十八条 ?各地可根据自身实际制定长城执法巡查实施细则。 第十九条 ?本办法自印发之日起施行。 ?
关于天津市长城保护总体规划编制立项的批复,文物保函[2011]841号,世界遗产,文物保函〔2011〕841号 天津市文物局： 你局《关于编制长城天津段遗产保护规划申请立项的请示》（津文物〔2011〕16号）收悉。经研究，我局批复如下： 一、同意《天津市长城保护总体规划》编制立项。 二、请你局指导地方人民政府，按照《全国重点文物保护单位保护规划编制审批办法》和《全国重点文物保护单位保护规划编制要求》的有关规定，组织具有资质的规划编制单位和参与长城资源调查的相关专业机构合作开展该总体规划的编制工作，并按程序报批。 三、请你局按照财政部、国家文物局《大遗址保护专项经费管理办法》（财教〔2005〕135号）文件的规定和我局的有关要求，另行申请该总体规划编制补助经费。 此复。 国家文物局 二〇一一年四月八日
关于湖北省早期长城保护总体规划立项的批复,文物保函[2011]574号,世界遗产,文物保函〔2011〕574号 湖北省文物局： 你局《关于申请湖北早期长城保护规划立项的请示》（鄂文物发〔2011〕33号）收悉。经研究，我局批复如下： 一、原则同意《湖北省早期长城保护总体规划》立项。 二、请你局指导地方人民政府，按照《全国重点文物保护单位保护规划编制审批办法》和《全国重点文物保护单位保护规划编制要求》的有关规定，组织具有资质的规划编制单位和参与长城资源调查的相关专业机构合作开展总体规划的编制工作，并按程序报批。 三、请你局按照财政部、国家文物局《大遗址保护专项经费管理办法》（财教〔2005〕135号）文件的规定和我局的有关要求，另行申请总体规划编制补助经费。 此复。 国家文物局 二〇一一年四月二日
关于怀柔区慕莲路穿越长城方案的批复,文物保函[2009]547号,世界遗产,文物保函〔2009〕547号 北京市文物局： 你局《关于怀柔区慕莲路工程设计方案的请示》（京文物〔2009〕405号）收悉。经研究，我局批复如下： 一、原则同意你局意见，以隧道方式穿越长城。 二、对方案提出以下意见： （一）进一步规范工程方案，补充工程建设依据、文物保护原则、完整的工程断面设计图、拟施工区域地质情况、工程对长城的影响评估等材料。 （二）根据《爆破安全规程》和《古建筑防工业振动技术规范》的有关规定，对施工中爆破及振动对长城的影响进行充分评估，并制订文物保护措施。 （三）加强施工中的安全监控，补充制定保障文物安全的应急预案。 （四）施工后应在隧道口设立长城保护标识牌。 请你局根据上述意见，督促指导有关单位对方案进行补充完善，报你局核准后实施。施工中请加强监管和管理，确保各项措施的落实和文物安全。 此复。 国家文物局 二○○九年五月十一日
关于永登县南湾长城保护工程设计方案的批复,文物保函[2015]39号,"行政审批,世界遗产",?文物保函〔2015〕39号 甘肃省文物局： 你局《关于呈报永登县南湾长城保护工程设计方案的报告》（甘文局发[2014]275号）收悉。经研究，我局批复如下： 一、原则同意永登县南湾长城（长城认定编码：620121382101170022）保护工程设计方案。 二、对该方案提出如下修改意见： （一）应补充长城墙体稳定性评估，为补砌、夯筑等加固措施提供依据。 （二）缝隙灌注材料宜采用与墙体材料相近的黄土浆，不掺沙或降低沙的比例，以保持强度一致。 （三）应进一步核算减振沟的深度，根据振动波传导做验算修正。减振沟应保持同墙体的足够安全距离，避免对遗址基础造成新的破坏。 （四）补充完善方案断面图和平面图，明确标示减振沟的位置。 （五）适度核减工程规模和经费概算。 三、请你局指导有关单位，根据上述意见对所报方案进行修改、完善，经你局核准后实施。请加强施工监管，确保工程质量和文物、人员安全。 此复。 国家文物局 2015年01月16日
关于甘肃省长城保护总体规划编制立项的批复,文物保函[2011]572号,世界遗产,文物保函〔2011〕572号 甘肃省文物局： 你局《关于申请编制甘肃历代长城保护规划立项的报告》（甘文局发〔2011〕43号）收悉。经研究，我局批复如下： 一、原则同意《甘肃省长城保护总体规划》编制立项。 二、请你局指导地方人民政府，按照《全国重点文物保护单位保护规划编制审批办法》和《全国重点文物保护单位保护规划编制要求》以及世界文化遗产保护管理的有关规定，组织具有资质的规划编制单位和参与长城资源调查的相关专业机构合作开展《甘肃省长城保护总体规划》的编制工作，并按程序报批。 三、请你局按照财政部、国家文物局《大遗址保护专项经费管理办法》（财教〔2005〕135号）文件的规定和我局的有关要求，另行申请编制《甘肃省长城保护总体规划》的补助经费。 此复。 国家文物局 二〇一一年四月二日
关于吉林省长城保护总体规划立项的批复,文物保函[2011]505号,世界遗产,文物保函〔2011〕505号 吉林省文物局： 你局《关于审批〈吉林省长城保护管理规划工作方案〉的请示》（吉文物发〔2011〕69号）收悉。经研究，我局批复如下： 一、原则同意《吉林省长城保护总体规划》编制工作立项。 二、请你局指导地方人民政府，按照《全国重点文物保护单位保护规划编制审批办法》和《全国重点文物保护单位保护规划编制要求》的有关规定，组织具有资质的规划编制单位和参与长城资源调查的相关专业机构合作开展总体规划的编制工作，并按程序报批。 三、请你局按照财政部、国家文物局《大遗址保护专项经费管理办法》（财教〔2005〕135号）文件的规定和我局的有关要求，另行申请总体规划编制补助经费。 此复。 国家文物局 二〇一一年四月二日
关于青连铁路工程通过齐长城遗址方案的批复,文物保函[2010]18号,世界遗产,文物保函〔2010〕18号 山东省文物局： 你局《关于呈报青连铁路工程穿越齐长城遗址方案的请示》（鲁文物〔2010〕195号）收悉。经研究，我局批复如下： 一、原则同意所报方案。 二、对所报方案提出以下修改意见： （一）进一步细化工程实施方案，确保爆破振动不对长城遗址本体安全造成威胁，并补充拟建铁路施工和运营期间各类振动对长城本体影响情况的监测方案。 （二）进一步完善施工期间的长城遗址本体临时性围护、加固措施，补充施工和运营期间的应急预案，确保长城本体安全。 三、请你局根据上述意见，指导相关单位对设计方案进行补充和修改，由你局核准后实施。请加强施工过程中的监管，确保文物安全。项目实施前，应组织有关考古研究单位做好相关施工区域的考古调查、勘探、发掘工作，并根据考古工作成果完善设计方案，避让重要的遗址遗迹。 此复。 国家文物局 二〇一〇年十二月三十日
关于委托承办长城资源调查工作会议的函,办保函[2009]683号,世界遗产,办保函[2009]683号 陕西省文物局： 为全面推进长城资源调查工作，现委托你局承办长城资源调查工作会议，具体事宜如下： 一、拟于2009年10月15日至17日在陕西省西安市召开长城资源调查工作会议，总结各省长城资源调查工作进展情况和实践经验，部署进一步推进长城资源调查的相关工作。 二、参会人员：我局领导和相关司处同志，北京、天津、河北、山西、内蒙古、辽宁、吉林、黑龙江、山东、河南、陕西、甘肃、宁夏、青海、新疆等长城沿线15个省级文物行政部门分管处室负责人和长城资源调查业务负责人；长城项目组、中国文物信息咨询中心等业务单位相关负责同志；中国文物报等相关媒体记者；共计约60人。 三、现委托你局统筹承办本次会议，国家文物局机关服务中心、长城项目组协办。 四、现将本次会议经费10万元拨付你局。请加强经费管理，专款专用。 专此。 国家文物局 二〇〇九年九月十八日
关于长城资源调查资料编辑印制工作的批复,文物保函[2012]391号,世界遗产,文物保函〔2012〕391号 辽宁省文物局： 你局《关于上报〈长城资源调查资料出版方案〉的请示》（辽文物保发〔2012〕18号）收悉。经研究，我局批复如下： 一、原则同意你局所报《长城资源调查资料出版方案》。 二、请你局联合长城资源调查项目组，做好长城资源调查资料编辑印制工作。相关工作应全面反映长城资源调查和认定工作所取得的成绩，科学、准确、详细地展示我国各时代长城的分布范围、走向、历史沿革、时代和地域特征、保护管理状况等重要成果。 三、请你局指导相关单位，严格按照《中华人民共和国保守国家秘密法》等法律法规的规定，做好相关长城资源调查资料保密工作，确保国家秘密安全。 四、请你局按照财政部、国家文物局《大遗址保护专项经费管理办法》（财教〔2005〕135号）文件的规定和我局的有关要求，另行申请长城资源调查资料编辑印制补助经费。 此复。 国家文物局 二〇一二年三月一日
关于明长城银川三关口段修缮工程立项的批复,文物保函[2013]319号,"行政审批,世界遗产",文物保函〔2013〕319号 宁夏回族自治区文物局： 你局《关于申请〈明长城宁夏银川三关口段修缮工程〉立项的请示》（宁文物发[2013]7号）收悉。经研究，我局批复如下： 一、原则同意明长城银川三关口段修缮工程立项。 二、对该保护工程提出以下要求： （一）该保护工程应以消除长城遗址结构稳定性病害为主要内容，以不改变文物原状和最小干预为基本原则，全面保护各类历史信息，确保遗产的突出普遍价值、真实性和完整性，不得大面积复原或修复长城。 （二）应进行深入细致的长城遗址现状调查、勘察和评估，明确各类病害的分布位置、范围、威胁程度和发展情况，开展长城本体稳定性评估，为制定有针对性的保护措施提供科学依据。 （三）各类保护措施应尽量采用传统材料和工艺。 三、请你局根据上述意见，组织具有相应资质的专业单位，按照《文物保护工程管理办法》等有关规定，编制工程方案，由你局初审同意后，报我局审批。 此复。 国家文物局 二〇一三年三月二十二日
关于齐长城——莒县大店子段修缮保护方案的批复,文物保函[2013]291号,"行政审批,世界遗产",文物保函〔2013〕291号 山东省文物局： 你局《关于呈报齐长城——莒县大店子段修缮保护方案的请示》（鲁文发[2012]246号）收悉。经研究，我局批复如下： 一、原则同意所报方案。 二、对该方案提出以下修改意见： （一）该保护工程应以消除相关齐长城遗址稳定性病害为主要内容，以最小干预为基本原则。对于地面遗迹已经消失或者遗址坍塌并处于稳定状态的段落，不得修复或复原。 （二）应进一步明确并核减补夯、培土等措施实施的具体位置、范围、工艺、施工要求和工程量，并补充相应的设计图纸。 （三）不宜大面积采用覆土植草的保护、展示方式。 （四）不得使用无纺布等现代材料进行遗址保护。 （五）应明确地面遗迹已经消失段落标示柱的设置位置、间距、施工工艺等具体要求。标示柱的选址应在遗址可能分布范围以外。 （六）补充遗址周边排水专项设计。 （七）进一步校核方案文本和图纸，补充齐长城墙体和烽火台立面图、关键部位剖面图以及烽火台围栏大样图、标示柱设置平面图等相关设计图纸。 三、请你局根据上述意见，指导有关单位对方案进行修改、完善，经你局核准后实施。施工前应开展必要的考古工作。请加强施工过程的管理，确保工程质量和文物安全。 此复。 国家文物局 二〇一三年三月二十二日
关于陕西段明长城保护总体规划立项的批复,文物保函[2009]1517号,世界遗产,文物保函[2009]1517号 陕西省文物局： 你局《关于申请陕西段明长城保护总体规划立项和经费的请示》（陕文物字〔2009〕95号）收悉。经研究，我局批复如下： 一、原则同意陕西段长城保护规划立项申请。 二、对该规划编制提出以下要求： （一）明长城作为涉及地区众多、遗存类型丰富、保护管理情况复杂的大型线性文化遗产，其保护规划编制是一项复杂的系统工程，需要多学科、多领域的专业技术人员共同参与，在充分吸收长城资源调查成果的基础上，深入研究长城保护的科学规律，有效保护长城的突出普遍价值、真实性和完整性; （二）明长城保护规划编制应特别注重规划的可操作性，加强与相关各级地方政府和相关部门的协调、沟通，合理划定保护区划，有针对性地制定保护原则、保护措施、保护项目、实施计划和管理规定，注意分清轻重缓急，将具有重要价值、保护状况亟待改善的遗存作为保护的重点，确保文物安全。 三、请你局根据上述意见，组织具有相应资质的单位，按照《全国重点文物保护单位保护规划编制审批办法》和《全国重点文物保护单位保护规划编制要求》的有关规定，开展规划的编制工作，并履行相应报批程序。 专此。 国家文物局 二○○九年十二月十六日
关于长城第一墩地下谷扩建项目的意见,办保函[2009]687号,世界遗产,办保函[2009]687号 关于长城第一墩地下谷扩建项目的意见甘肃省文物局： 你局《关于呈报长城第一墩地下谷扩建项目补充材料的报告》（甘文局发[2009]77号）收悉。经研究，我局提出以下意见： 一、所报扩建项目位于第一批全国重点文物保护单位“万里长城—嘉峪关”保护范围内，根据《中华人民共和国文物保护法》，文物保护单位的保护范围内不得进行其他建设工程。所报项目为管理办公及旅游服务设施，与文物保护无关，且缺少必要的设计方案，未充分阐述扩建项目的必要性，不符合文物保护法要求。 二、请你局组织相关单位对该扩建项目进行研究论证，如确有建设必要，应在统筹考虑“地下谷”已有建筑功能的基础上，研究论证扩建项目的必要性，编制项目设计方案，明确拟建建筑功能、展示具体内容、管理人员数量等，科学、合理地测算展示面积、办公面积等相关经济指标，待《万里长城—嘉峪关文物保护规划》审批通过后，另行报批。 三、“嘉峪关长城文化旅游景区建设项目”位于全国重点文物保护单位“万里长城—嘉峪关”保护范围或建设控制地带内的各建设项目，均须依法履行报批手续。 专此。 国家文物局 二〇〇九年九月二十一日
关于长城延庆县大庄科段抢险修缮方案的批复,文物保函[2013]1167号,"行政审批,世界遗产",文物保函〔2013〕1167号 北京市文物局： 你局《关于北京延庆县大庄科段长城抢险修缮方案的请示》（京文物[2012]1329号）收悉。经研究，我局批复如下： 一、原则同意所报明长城北京市延庆县大庄科段（延庆县长城段1段，长城认定编码110229382103170001；延庆县7号至12号敌台，长城认定编码110229352101170007至110229352101170012）抢险修缮方案。 二、对该方案提出以下修改意见： （一）此次修缮工程应以消除长城文物本体安全隐患为主要内容，不得大面积补砌、补筑长城墙体、敌台或剔补、替换长城砖、石，并应尽量保持长城自然残损的历史面貌。 （二）深化长城保存现状评估。不宜按照长城墙体保存现状分类方式评估长城敌台保存现状，应对各敌台逐一进行现状描述和评估，并补充相关现状勘察资料。 （三）细化长城城墙顶部防水处理的具体做法，明确具体的施工材料、形制和工艺。不得使用现代材料进行防水处理。 （四）因长城文物本体结构安全需要进行局部、小范围补砌、补筑的，应补充新、旧墙体交接处的处理方法，确保长城本体结构稳定和安全。 （五）进一步校核方案文本和图纸，修正方案图纸错误，补充墙体收分尺寸等基本标注。 三、请你局指导有关单位，根据上述意见进一步修改、完善方案，由你局核准后实施。请加强施工过程中的监督管理，确保工程质量和文物、人员安全。 此复。 国家文物局 2013年07月11日
